x,y
211.0,183.5
211.0,183.0
211.0,183.0
211.0,183.0
211.0,182.5
211.5,182.5
211.5,183.0
211.5,183.5
211.5,183.5
211.5,183.0
211.5,182.5
211.0,181.5
211.0,181.0
211.5,179.0
211.5,178.0
211.5,176.5
211.5,174.5
211.5,172.5
211.5,171.5
211.5,170.0
211.0,168.0
211.5,164.5
211.0,160.5
211.5,156.5
211.0,152.5
211.5,147.5
211.0,143.0
211.0,137.0
210.5,133.5
210.5,129.5
210.5,126.0
211.0,122.0
211.0,117.0
211.0,112.5
210.5,110.0
211.0,106.0
209.5,98.0
208.5,107.0
209.0,115.5
209.5,119.0
210.0,120.5
209.5,122.0
209.0,127.0
208.5,127.5
208.5,131.0
208.0,132.0
208.0,135.5
208.0,138.5
208.0,137.5
208.0,137.0
208.0,136.0
208.5,134.5
208.5,132.0
207.5,130.0
207.5,128.0
208.5,124.0
208.0,121.5
208.0,119.5
208.0,117.5
208.5,115.0
208.0,111.5
207.5,110.0
207.5,107.5
207.0,107.0
206.5,106.5
206.0,108.0
207.0,103.5
206.0,100.5
205.5,99.5
203.0,97.5
203.0,95.5
202.0,92.5
202.0,91.0
202.0,87.0
201.5,84.0
202.0,87.0
201.5,84.0
200.5,79.5
200.5,76.5
199.0,78.5
199.5,81.0
198.0,79.0
197.5,82.0
198.5,82.5
198.5,86.0
197.5,85.0
197.5,85.0
197.0,85.0
197.0,84.0
196.5,83.0
196.0,81.0
197.0,81.0
197.0,81.5
196.5,80.5
196.5,80.5
196.5,80.5
197.0,80.0
197.0,81.0
197.0,81.5
197.0,81.0
197.0,81.0
197.5,81.5
197.5,81.0
197.0,81.0
196.5,81.0
196.5,81.0
197.0,81.0
197.0,81.0
197.0,81.5
197.0,82.0
196.5,82.0
196.5,81.0
196.0,80.5
196.0,81.0
195.5,81.0
195.5,82.5
195.5,82.5
196.0,85.0
195.0,86.0
195.5,89.0
195.5,91.0
195.0,91.5
195.0,92.5
194.5,93.5
194.5,93.0
196.0,91.5
195.0,87.0
195.5,82.0
195.0,77.0
196.0,71.5
196.0,68.5
195.0,66.0
196.0,64.5
196.0,63.0
194.5,62.5
197.0,62.0
198.0,61.0
198.5,61.0
198.5,61.5
199.0,60.5
199.5,60.5
199.0,60.0
199.5,57.0
199.5,55.5
200.5,52.0
196.5,59.5
201.5,48.5
201.0,69.0
202.5,45.5
202.5,43.5
203.0,42.5
203.0,41.5
203.0,41.5
204.0,38.5
204.5,38.5
205.0,38.0
206.0,37.0
207.5,36.5
209.0,35.5
210.0,35.5
211.5,35.5
212.0,35.5
213.0,35.0
213.0,35.5
214.5,35.5
216.0,35.5
218.0,35.5
218.5,35.5
220.5,36.5
221.5,36.5
222.0,36.0
222.5,35.5
223.0,36.0
223.0,36.5
223.0,37.0
223.0,38.0
223.0,38.5
223.0,39.0
223.0,39.0
222.0,62.0
223.5,38.5
223.5,38.5
223.5,38.5
224.0,38.5
224.5,39.0
220.5,50.0
224.5,37.5
226.0,38.5
222.5,50.0
227.0,39.0
227.5,39.0
227.5,39.5
227.5,39.5
227.5,39.0
227.5,39.5
228.0,39.0
228.0,39.5
228.0,39.5
228.0,39.5
228.0,39.5
228.0,39.5
228.0,39.5
228.0,39.5
228.5,40.5
228.5,41.0
228.5,41.5
229.0,41.5
229.0,41.5
229.0,41.5
229.0,41.5
229.0,41.0
229.0,41.0
228.5,41.0
228.5,41.0
