x,y
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.0
215.0,181.5
215.5,181.5
215.0,182.0
214.5,162.0
215.5,181.5
215.5,182.0
215.5,182.5
215.5,182.5
215.5,183.0
215.0,182.0
215.0,182.0
215.5,181.5
215.0,181.5
215.0,181.5
215.0,181.5
215.0,181.5
209.5,172.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.5
215.5,182.5
215.5,182.5
215.5,182.5
215.5,182.0
215.5,182.0
215.5,182.0
215.5,181.5
215.5,181.5
215.0,181.5
215.0,181.5
215.5,181.0
215.5,180.5
215.5,180.5
215.5,180.5
215.5,180.5
215.5,180.5
215.5,181.5
215.5,181.0
215.5,181.0
214.5,162.0
215.0,180.0
215.0,179.0
215.5,177.5
214.5,176.5
214.5,175.0
215.0,172.5
214.5,171.5
214.5,168.0
214.5,164.5
215.0,162.5
215.0,159.5
214.5,155.5
214.5,151.5
214.0,147.5
214.5,142.0
214.0,138.0
214.5,131.0
214.5,126.5
215.0,119.5
214.0,111.0
214.5,106.0
215.0,98.5
215.0,98.0
215.5,98.0
213.5,98.5
214.0,97.5
215.0,99.5
214.5,104.5
214.0,106.5
214.0,108.5
213.5,111.0
213.5,113.0
213.0,114.5
213.0,116.0
213.5,116.5
213.0,116.0
213.0,116.5
213.0,116.5
213.0,116.0
213.0,115.5
213.0,115.5
213.0,115.5
213.0,115.0
213.0,115.0
213.0,115.0
213.0,115.0
213.0,115.5
213.0,116.0
213.5,116.5
213.5,116.5
213.5,117.0
214.0,117.0
214.0,117.0
214.0,116.5
213.5,117.5
214.0,117.0
214.0,116.5
214.0,116.5
214.0,116.5
214.0,117.0
214.0,116.0
214.0,115.0
214.5,114.0
214.5,112.0
215.0,110.5
215.0,108.0
214.5,105.5
215.0,103.0
208.5,108.0
216.0,98.0
216.5,95.0
216.0,93.5
215.5,91.5
216.0,87.5
216.5,86.0
217.0,83.0
217.5,80.0
218.0,77.0
218.5,75.5
220.0,73.0
219.5,70.5
220.0,68.5
219.0,65.5
220.5,65.0
221.5,63.0
221.5,61.5
221.5,59.5
222.5,59.0
223.0,58.5
223.0,57.5
222.0,57.5
222.0,57.5
221.0,57.0
221.0,56.0
220.0,55.5
220.0,55.5
219.5,55.5
218.5,55.0
211.0,61.5
211.0,61.5
218.0,54.5
218.0,55.0
219.0,55.0
