x,y
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,182.0
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,181.5
216.0,182.0
216.0,181.5
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
215.5,182.0
216.0,182.0
216.0,182.0
216.0,182.0
215.5,182.5
215.5,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.0
215.5,182.5
216.0,182.5
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,182.0
216.0,181.5
215.5,181.5
215.5,181.5
215.5,181.5
215.5,181.5
215.5,181.0
215.5,181.5
215.5,181.5
215.5,181.5
215.5,181.0
215.5,181.0
215.5,181.0
215.5,181.0
216.0,181.0
215.5,180.5
215.5,180.5
215.5,180.5
210.0,171.0
215.5,180.5
215.5,180.5
215.5,180.5
210.0,171.0
216.0,180.0
215.0,180.5
215.5,180.0
216.0,179.5
215.5,178.5
215.5,178.0
215.0,175.5
215.0,174.0
215.0,172.5
214.0,170.0
214.0,166.5
214.0,163.5
214.0,158.5
214.0,154.5
214.0,149.5
213.5,144.5
213.5,139.5
213.0,133.5
213.5,128.0
213.0,121.0
212.5,115.0
213.0,108.0
212.5,101.5
212.5,94.5
213.0,96.5
210.5,97.5
211.5,98.5
211.5,100.5
212.0,102.0
212.0,104.5
212.0,105.5
211.0,108.0
211.0,109.0
211.5,110.0
211.0,111.5
211.5,112.0
211.0,111.5
211.5,111.0
211.0,111.0
211.0,109.5
211.5,108.5
211.5,108.5
212.0,105.5
212.5,104.0
213.5,102.0
213.0,99.0
214.5,96.0
214.0,95.0
213.0,93.0
213.5,92.0
213.0,91.0
213.0,89.5
214.0,88.5
213.5,87.5
212.0,86.0
212.0,84.0
210.5,84.0
210.0,83.0
210.0,80.0
208.5,78.5
209.5,77.0
209.5,74.5
209.0,73.0
208.5,70.5
208.5,69.0
208.5,67.0
207.5,66.0
209.5,81.0
208.0,65.5
209.0,66.0
211.0,65.0
211.5,65.0
212.0,65.0
211.5,65.5
211.5,65.5
210.5,66.0
210.0,66.0
209.5,65.5
209.5,66.0
209.0,65.5
207.5,65.0
207.0,66.0
206.5,66.5
206.0,66.0
206.5,80.0
204.5,65.0
204.5,65.5
203.0,66.5
202.5,66.0
202.0,66.5
202.0,66.5
202.0,66.0
201.0,65.5
