frame,action
19,setupsnatch
20,setupsnatch
21,setupsnatch
22,setupsnatch
23,setupsnatch
24,setupsnatch
25,setupsnatch
26,setupsnatch
27,setupsnatch
28,setupsnatch
29,setupsnatch
30,setupsnatch
31,setupsnatch
32,setupsnatch
33,setupsnatch
34,setupsnatch
35,setupsnatch
36,setupsnatch
37,setupsnatch
38,setupsnatch
39,setupsnatch
40,pullsnatch
41,pullsnatch
42,pullsnatch
43,pullsnatch
44,pullsnatch
45,pullsnatch
46,pullsnatch
47,pullsnatch
48,pullsnatch
49,pullsnatch
50,pullsnatch
51,pullsnatch
52,pullsnatch
53,pullsnatch
54,receivingbarsnatch
55,receivingbarsnatch
56,pullsnatch
57,pullsnatch
58,receivingbarsnatch
59,receivingbarsnatch
60,
61,standsnatch
62,standsnatch
63,standsnatch
64,standsnatch
65,standsnatch
66,standsnatch
67,standsnatch
68,standsnatch
69,standsnatch
70,standsnatch
71,standsnatch
72,standsnatch
73,standsnatch
74,standsnatch
75,standsnatch
76,standsnatch
77,standsnatch
78,standsnatch
79,standsnatch
80,standsnatch
81,standsnatch
82,standsnatch
83,standsnatch
84,standsnatch
85,standsnatch
86,standsnatch
87,standsnatch
88,standsnatch
89,standsnatch
90,standsnatch
91,standsnatch
92,standsnatch
93,standsnatch
94,standsnatch
95,standsnatch
96,standsnatch
97,standsnatch
98,standsnatch
99,standsnatch
100,standsnatch
101,standsnatch
102,standsnatch
103,standsnatch
104,standsnatch
105,standsnatch
106,standsnatch
107,standsnatch
108,standsnatch
109,standsnatch
110,standsnatch
111,standsnatch
112,standsnatch
113,standsnatch
114,standsnatch
115,standsnatch
116,receivingbarsnatch
117,standsnatch
118,standsnatch
119,standsnatch
120,standsnatch
121,standsnatch
122,standsnatch
123,standsnatch
124,standsnatch
125,standsnatch
126,standsnatch
127,standsnatch
128,standsnatch
129,standsnatch
130,standsnatch
131,standsnatch
