,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17
0,213.0,74.0,212.0,103.0,189.0,104.0,165.0,129.0,147.0,156.0,234.0,105.0,255.0,128.0,274.0,157.0,197.0,145.0,174.0,145.0,176.0,200.0,225.0,147.0,250.0,147.0,243.0,202.0,209.0,71.0,218.0,72.0,202.0,79.0,224.0,82.0
1,213.0,72.0,212.0,100.0,189.0,100.0,164.0,126.0,146.0,154.0,234.0,100.0,254.0,124.0,274.0,152.0,198.0,139.0,171.0,144.0,176.0,199.0,227.0,142.0,248.0,145.0,243.0,202.0,209.0,68.0,219.0,69.0,202.0,75.0,225.0,78.0
2,213.0,69.0,212.0,97.0,189.0,97.0,165.0,120.0,147.0,148.0,234.0,98.0,255.0,121.0,274.0,149.0,198.0,133.0,172.0,144.0,175.0,200.0,226.0,137.0,249.0,143.0,243.0,202.0,209.0,66.0,219.0,67.0,202.0,73.0,225.0,77.0
3,213.0,66.0,212.0,94.0,189.0,94.0,164.0,117.0,147.0,146.0,234.0,95.0,255.0,117.0,274.0,144.0,195.0,128.0,171.0,145.0,175.0,200.0,226.0,131.0,249.0,144.0,243.0,201.0,209.0,63.0,218.0,64.0,202.0,71.0,224.0,74.0
4,213.0,65.0,212.0,91.0,190.0,90.0,166.0,113.0,147.0,142.0,233.0,92.0,255.0,113.0,274.0,142.0,196.0,125.0,170.0,148.0,176.0,201.0,226.0,129.0,250.0,146.0,243.0,202.0,209.0,61.0,218.0,62.0,203.0,68.0,224.0,71.0
5,213.0,65.0,212.0,90.0,190.0,89.0,164.0,113.0,148.0,141.0,234.0,91.0,256.0,112.0,273.0,141.0,197.0,128.0,172.0,143.0,177.0,203.0,227.0,131.0,250.0,147.0,243.0,204.0,209.0,61.0,218.0,62.0,203.0,68.0,224.0,70.0
6,213.0,65.0,212.0,90.0,191.0,90.0,165.0,112.0,149.0,139.0,233.0,91.0,255.0,112.0,272.0,140.0,197.0,127.0,173.0,146.0,178.0,204.0,225.0,129.0,247.0,146.0,242.0,206.0,209.0,62.0,218.0,62.0,203.0,68.0,224.0,70.0
7,213.0,65.0,212.0,90.0,191.0,90.0,167.0,110.0,151.0,136.0,232.0,90.0,255.0,111.0,272.0,140.0,196.0,128.0,174.0,154.0,179.0,207.0,224.0,128.0,247.0,151.0,242.0,210.0,209.0,61.0,217.0,62.0,203.0,67.0,223.0,69.0
8,212.0,63.0,212.0,88.0,191.0,88.0,168.0,108.0,152.0,133.0,232.0,88.0,254.0,109.0,271.0,138.0,196.0,131.0,174.0,159.0,180.0,210.0,223.0,131.0,245.0,160.0,241.0,213.0,208.0,59.0,216.0,60.0,202.0,66.0,223.0,67.0
9,213.0,59.0,212.0,86.0,191.0,86.0,169.0,106.0,154.0,130.0,232.0,86.0,252.0,106.0,268.0,134.0,196.0,133.0,173.0,163.0,180.0,213.0,223.0,133.0,245.0,164.0,239.0,214.0,209.0,56.0,217.0,57.0,203.0,62.0,223.0,64.0
10,213.0,56.0,212.0,82.0,192.0,82.0,169.0,102.0,154.0,127.0,231.0,82.0,251.0,101.0,267.0,129.0,197.0,134.0,173.0,166.0,180.0,215.0,223.0,133.0,244.0,165.0,238.0,215.0,209.0,53.0,217.0,53.0,203.0,59.0,223.0,60.0
11,213.0,51.0,212.0,77.0,192.0,77.0,170.0,98.0,154.0,122.0,231.0,76.0,251.0,98.0,267.0,126.0,198.0,133.0,173.0,167.0,181.0,216.0,223.0,132.0,243.0,167.0,237.0,217.0,210.0,48.0,216.0,49.0,203.0,54.0,222.0,56.0
12,213.0,46.0,212.0,73.0,191.0,72.0,170.0,93.0,155.0,117.0,231.0,74.0,252.0,94.0,267.0,119.0,198.0,129.0,179.0,167.0,180.0,216.0,224.0,129.0,238.0,169.0,237.0,217.0,209.0,43.0,217.0,44.0,203.0,50.0,222.0,51.0
13,212.0,44.0,211.0,70.0,191.0,69.0,171.0,89.0,155.0,111.0,232.0,71.0,253.0,90.0,266.0,115.0,198.0,125.0,185.0,167.0,180.0,214.0,224.0,125.0,234.0,167.0,236.0,216.0,209.0,41.0,216.0,42.0,203.0,47.0,222.0,49.0
14,212.0,45.0,212.0,70.0,192.0,69.0,172.0,85.0,155.0,106.0,231.0,70.0,250.0,85.0,265.0,109.0,199.0,122.0,189.0,167.0,180.0,214.0,224.0,123.0,229.0,170.0,235.0,214.0,209.0,43.0,216.0,43.0,203.0,47.0,222.0,50.0
15,211.0,50.0,211.0,72.0,191.0,71.0,171.0,86.0,155.0,102.0,229.0,73.0,249.0,86.0,265.0,103.0,198.0,122.0,189.0,167.0,178.0,213.0,223.0,123.0,230.0,168.0,236.0,214.0,208.0,47.0,215.0,47.0,203.0,52.0,220.0,53.0
16,211.0,55.0,210.0,76.0,191.0,75.0,171.0,87.0,154.0,97.0,228.0,77.0,247.0,87.0,263.0,98.0,198.0,125.0,185.0,167.0,178.0,213.0,222.0,125.0,232.0,167.0,235.0,214.0,208.0,52.0,214.0,53.0,203.0,56.0,220.0,58.0
17,211.0,61.0,209.0,82.0,191.0,82.0,170.0,89.0,154.0,97.0,227.0,83.0,246.0,90.0,261.0,97.0,198.0,133.0,181.0,169.0,178.0,213.0,222.0,133.0,235.0,168.0,236.0,214.0,208.0,58.0,214.0,59.0,202.0,62.0,219.0,64.0
18,211.0,70.0,210.0,89.0,191.0,89.0,171.0,93.0,156.0,96.0,227.0,89.0,246.0,93.0,260.0,96.0,197.0,141.0,178.0,173.0,178.0,212.0,221.0,141.0,239.0,174.0,236.0,214.0,207.0,67.0,214.0,67.0,201.0,71.0,219.0,72.0
19,209.0,80.0,209.0,100.0,190.0,100.0,164.0,101.0,151.0,98.0,227.0,98.0,250.0,102.0,263.0,99.0,197.0,152.0,174.0,178.0,178.0,213.0,221.0,152.0,241.0,179.0,239.0,217.0,206.0,77.0,212.0,77.0,201.0,82.0,217.0,81.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
